,year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
73,2009,5144.7204,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Married
74,2009,4874.654820000002,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
75,2009,4874.654820000002,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
76,2009,4874.654820000002,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
77,2009,4078.88408,Female,Black,Non-Hispanic,Non-Hispanic Black,35-49,Married
78,2009,5562.6786200000015,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Separated
79,2009,4079.10142,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
80,2009,7723.808290000001,Female,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
81,2009,7723.808290000001,Female,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
82,2009,20860.95498,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
83,2009,4920.3639600000015,Female,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
84,2009,4622.19375,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
85,2009,4622.19375,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
86,2009,4622.19375,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
87,2009,3731.7981,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
88,2009,3594.4132,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Married
89,2009,4026.82581,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
90,2009,3670.19614,Male,Black,Non-Hispanic,Non-Hispanic Black,18-20,Never married
91,2009,36701.9614,Male,Black,Non-Hispanic,Non-Hispanic Black,18-20,Never married
92,2009,3745.60119,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
93,2009,3899.30467,Female,Other,Hispanic,Other,35-49,Never married
94,2009,3957.7204,Male,Black,Non-Hispanic,Non-Hispanic Black,65+,Divorced
95,2009,2614.17614,Male,White,Hispanic,Other,15-17,Never married
96,2009,2692.17369,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
97,2009,36113.0501,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Married
98,2009,4757.21878,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
99,2009,20598.82122,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
100,2009,3378.7831,Female,White,Hispanic,Other,50-64,Never married
101,2009,3626.15585,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
102,2009,3626.15585,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
103,2009,3618.30939,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
104,2009,5134.82803,Male,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
105,2009,1862.81195,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
106,2009,7587.64552,Male,Black,Non-Hispanic,Non-Hispanic Black,12-14,Never married
107,2009,3083.65021,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
108,2009,3222.6225,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
109,2009,3222.6225,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
110,2009,18046.95012,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
111,2009,4658.41071,Female,Black,Non-Hispanic,Non-Hispanic Black,21-24,Never married
112,2009,4658.41071,Female,Black,Non-Hispanic,Non-Hispanic Black,21-24,Never married
113,2009,3964.79853,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
114,2009,2014.34919,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
115,2009,18569.7267,Female,Other,Non-Hispanic,Non-Hispanic,50-64,Divorced
116,2009,2399.75677,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
117,2009,3784.23435,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
118,2009,5776.493079999998,Male,Black,Non-Hispanic,Non-Hispanic Black,21-24,Never married
119,2009,2358.91755,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
120,2009,2358.91755,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
121,2009,2358.91755,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
122,2009,4040.36568,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
123,2009,2697.44704,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
124,2009,4783.58314,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
125,2009,5028.08849,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
126,2009,2370.73448,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
127,2009,2370.73448,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
128,2009,2038.47329,Female,White,Hispanic,Other,35-49,Married
129,2009,4294.27173,Male,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
130,2009,3393.40763,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
131,2009,3393.40763,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
132,2009,4581.3862,Male,White,Hispanic,Other,35-49,Never married
133,2009,4581.3862,Male,White,Hispanic,Other,35-49,Never married
134,2009,5855.45245,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
135,2009,2594.35585,Male,White,Hispanic,Other,21-24,Never married
136,2009,2009.07944,Female,White,Non-Hispanic,Non-Hispanic White,65+,Divorced
137,2009,2009.07944,Female,White,Non-Hispanic,Non-Hispanic White,65+,Divorced
138,2009,2369.54136,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
139,2009,1728.01887,Female,Black,Non-Hispanic,Non-Hispanic Black,65+,Never married
140,2009,4043.23503,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Married
141,2009,4043.23503,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Married
142,2009,4043.23503,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Married
143,2009,3536.8079,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
144,2009,3536.8079,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
145,2009,2722.67002,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
146,2009,3172.384510000001,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
147,2009,3309.19214,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Married
148,2009,6172.96948,Male,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
149,2009,3828.01539,Male,White,Hispanic,Other,35-49,Never married
150,2009,4318.58419,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
151,2009,4318.58419,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
152,2009,3110.75274,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
153,2009,3000.78881,Female,Other,Non-Hispanic,Non-Hispanic,35-49,Never married
154,2009,3980.46988,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
155,2009,2129.65919,Female,White,Hispanic,Other,50-64,Never married
156,2009,3369.99629,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Never married
157,2009,3309.11783,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
158,2009,3309.11783,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
159,2009,3314.72122,Female,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
160,2009,3845.40561,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
161,2009,3819.71326,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
162,2009,3819.71326,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
163,2009,3819.71326,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
164,2009,3318.37338,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
165,2009,3140.918710000001,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Separated
166,2009,3438.66926,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
167,2009,2608.5049,Female,White,Hispanic,Other,18-20,Never married
168,2009,4781.28373,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
169,2009,2108.76667,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
170,2009,3518.3121100000008,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
171,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
172,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
173,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
174,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
175,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
176,2009,3969.65376,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
177,2009,2234.64532,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Married
178,2009,3382.73873,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
179,2009,3360.85935,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
180,2009,3149.86663,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
181,2009,3969.70414,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Never married
182,2009,3819.71326,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
183,2009,4087.81019,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
184,2009,2935.37424,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
185,2009,3792.8993,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Married
186,2009,3298.73308,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
187,2009,3902.38644,Male,White,Hispanic,Other,25-34,Never married
188,2009,3629.92973,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
189,2009,4655.301670000002,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Separated
190,2009,1847.53553,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
191,2009,5814.78876,Male,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
192,2009,3374.07793,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Never married
193,2009,3866.84456,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Never married
194,2009,6156.84175,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
195,2009,5927.69091,Female,Black,Non-Hispanic,Non-Hispanic Black,12-14,Never married
196,2009,1725.1156399999998,Female,White,Non-Hispanic,Non-Hispanic White,65+,Widowed
197,2009,2948.96534,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
198,2009,4000.36128,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
199,2009,2952.5196100000007,Female,Black,Hispanic,Other,25-34,Never married
200,2009,2627.08917,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
201,2009,2312.90738,Female,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
202,2009,3121.83144,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
203,2009,3568.09084,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
204,2009,4193.24976,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
205,2009,3738.68855,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
206,2009,3738.68855,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
207,2009,3497.52347,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
208,2009,3598.390810000001,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
209,2009,2077.75954,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
210,2009,3255.75457,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
211,2009,5062.77649,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Married
212,2009,2117.20714,Female,Black,Non-Hispanic,Non-Hispanic Black,50-64,Divorced
213,2009,2618.42197,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
214,2009,2213.46256,Male,White,Non-Hispanic,Non-Hispanic White,50-64,Married
215,2009,4689.54333,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Married
216,2009,4457.10208,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
217,2009,3186.53695,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
218,2009,3009.16962,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
219,2009,2277.95586,Female,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
220,2009,3540.23842,Male,White,Hispanic,Other,25-34,Never married
221,2009,4592.90945,Male,White,Hispanic,Other,25-34,Never married
222,2009,4289.4085,Female,Other,Hispanic,Other,21-24,Never married
223,2009,3717.64369,Male,White,Hispanic,Other,35-49,Divorced
224,2009,2794.81,Female,White,Hispanic,Other,25-34,Never married
225,2009,4705.59893,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
226,2009,4008.63076,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
227,2009,5894.6207,Male,Black,Non-Hispanic,Non-Hispanic Black,25-34,Married
228,2009,3126.38702,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
229,2009,4390.47556,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
230,2009,32390.935,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
231,2009,4258.5498,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
232,2009,3626.66991,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Divorced
233,2009,4102.02461,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
234,2009,3533.84071,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
235,2009,3319.80365,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
236,2009,3319.80365,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
237,2009,3319.80365,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Never married
238,2009,5062.71226,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
239,2009,3548.8854,Female,Black,Non-Hispanic,Non-Hispanic Black,50-64,Separated
240,2009,3548.8854,Female,Black,Non-Hispanic,Non-Hispanic Black,50-64,Separated
241,2009,3452.14215,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
242,2009,2313.6902,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
243,2009,2313.6902,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Never married
244,2009,3905.88294,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
245,2009,2378.03095,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
246,2009,4921.01905,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
247,2009,4921.01905,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
248,2009,3640.19197,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
249,2009,6350.00067,Female,Black,Non-Hispanic,Non-Hispanic Black,18-20,Never married
250,2009,4329.61815,Male,Black,Non-Hispanic,Non-Hispanic Black,50-64,Married
251,2009,4329.61815,Male,Black,Non-Hispanic,Non-Hispanic Black,50-64,Married
252,2009,31816.9976,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
253,2009,3731.37965,Male,White,Hispanic,Other,12-14,Never married
254,2009,3405.71183,Female,Other,Non-Hispanic,Non-Hispanic,12-14,Never married
255,2009,5126.98333,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Divorced
256,2009,3837.41468,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Divorced
257,2009,3787.37496,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Never married
258,2009,3455.0020600000007,Male,White,Hispanic,Other,25-34,Married
259,2009,3742.27082,Female,Other,Non-Hispanic,Non-Hispanic,35-49,Married
260,2009,3150.44905,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
261,2009,2949.54119,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
262,2009,4381.60456,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
263,2009,4412.286120000002,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
264,2009,5048.75698,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
265,2009,3502.97791,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
266,2009,3502.97791,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
267,2009,5419.30126,Female,White,Hispanic,Other,12-14,Never married
268,2009,5634.74314,Female,Black,Non-Hispanic,Non-Hispanic Black,15-17,Never married
269,2009,5441.56051,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
270,2009,2143.324960000001,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
271,2009,3131.34145,Male,Black,Non-Hispanic,Non-Hispanic Black,35-49,Married
272,2009,3090.01502,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
273,2009,2489.4987,Female,Black,Non-Hispanic,Non-Hispanic Black,35-49,Divorced
274,2009,3978.53148,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
275,2009,3978.53148,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
276,2009,3978.53148,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
277,2009,3978.53148,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
278,2009,3117.42681,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Separated
279,2009,3052.69886,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Divorced
280,2009,1996.83664,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
281,2009,5409.85719,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
282,2009,3097.53803,Female,Other,Non-Hispanic,Non-Hispanic,21-24,Never married
283,2009,3573.36265,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
284,2009,51427.0609,Female,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
285,2009,3572.34992,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Widowed
286,2009,3298.49202,Female,Other,Non-Hispanic,Non-Hispanic,35-49,Divorced
287,2009,3141.56807,Female,White,Hispanic,Other,35-49,Separated
288,2009,1782.71308,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Married
289,2009,6265.3148,Female,Other,Non-Hispanic,Non-Hispanic,50-64,Married
290,2009,6265.3148,Female,Other,Non-Hispanic,Non-Hispanic,50-64,Married
291,2009,3847.51472,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
292,2009,3877.57686,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
293,2009,2138.785610000001,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Separated
294,2009,2138.785610000001,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Separated
295,2009,3015.28121,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Separated
296,2009,1734.3179899999998,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
297,2009,1734.3179899999998,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
298,2009,1734.3179899999998,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
299,2009,1734.3179899999998,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
300,2009,5995.05912,Male,Black,Non-Hispanic,Non-Hispanic Black,18-20,Never married
301,2009,2165.88073,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Divorced
302,2009,3019.84618,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
303,2009,2998.07124,Male,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
304,2009,3310.49309,Male,White,Non-Hispanic,Non-Hispanic White,65+,Married
305,2009,2990.70623,Male,White,Hispanic,Other,18-20,Never married
306,2009,4814.63523,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
307,2009,3552.0286100000008,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
308,2009,3552.0286100000008,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
309,2009,3552.0286100000008,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
310,2009,3552.0286100000008,Female,Black,Non-Hispanic,Non-Hispanic Black,25-34,Never married
311,2009,3036.02811,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
312,2009,2033.2669,Female,White,Non-Hispanic,Non-Hispanic White,65+,Widowed
313,2009,2345.62804,Female,White,Non-Hispanic,Non-Hispanic White,35-49,Married
314,2009,3163.98564,Male,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
315,2009,3389.99338,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
316,2009,3052.86467,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Married
317,2009,4306.945760000001,Female,White,Non-Hispanic,Non-Hispanic White,15-17,Never married
318,2009,2565.06936,Male,White,Non-Hispanic,Non-Hispanic White,21-24,Never married
319,2009,3077.55072,Female,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
320,2009,5784.29668,Female,White,Non-Hispanic,Non-Hispanic White,18-20,Never married
321,2009,3340.47913,Female,White,Non-Hispanic,Non-Hispanic White,50-64,Never married
322,2009,2088.90878,Female,White,Hispanic,Other,35-49,Never married
323,2009,1976.96566,Female,White,88,Non-Hispanic White,35-49,88
324,2009,2209.32895,Male,White,Hispanic,Other,25-34,Never married
325,2009,3668.82743,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Never married
326,2009,3943.7925,Male,White,Non-Hispanic,Non-Hispanic White,35-49,Married
327,2009,5766.57016,Male,White,Non-Hispanic,Non-Hispanic White,12-14,Separated
328,2009,3942.36689,Male,White,Non-Hispanic,Non-Hispanic White,25-34,Married
